API_Name,API_LM_Coeff,API_LM_Interc,Population_Scenarion,Year,WWTP_Removal_Scenario,Norway_Population_mil,API_Sales_Weight_kg,Water_Consumption_ML,PEC_Inf_gL,PEC_Eff_gL,PEC_SW_gL,PNEC_SW_gL,RQ
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2080,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2080,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2090,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2090,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2090,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2090,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2100,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2100,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2100,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Low,2100,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2020,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2020,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2020,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2020,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2030,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2030,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2030,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2030,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2040,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2040,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2040,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2040,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2050,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2050,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2050,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2050,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2060,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2060,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2060,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2060,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2070,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2070,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2070,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2070,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2080,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2080,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2080,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2080,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2090,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2090,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2090,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2090,0.95 - 0.99,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2100,0 - 0.001,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2100,0.001 - 0.9,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2100,0.9 - 0.95,,,,,,,,
amoxicillin,2.1521384793006946,-8378750.3110827645,Medium,2100,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2020,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2020,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2020,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2020,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2030,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2030,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2030,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2030,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2040,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2040,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2040,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2040,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2050,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2050,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2050,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2050,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2060,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2060,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2060,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2060,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2070,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2070,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2070,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2070,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2080,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2080,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2080,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2080,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2090,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2090,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2090,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2090,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2100,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2100,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2100,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,High,2100,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2020,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2020,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2020,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2020,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2030,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2030,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2030,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2030,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2040,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2040,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2040,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2040,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2050,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2050,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2050,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2050,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2060,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2060,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2060,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2060,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2070,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2070,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2070,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2070,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2080,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2080,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2080,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2080,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2090,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2090,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2090,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2090,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2100,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2100,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2100,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Low,2100,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2020,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2020,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2020,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2020,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2030,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2030,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2030,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2030,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2040,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2040,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2040,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2040,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2050,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2050,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2050,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2050,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2060,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2060,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2060,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2060,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2070,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2070,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2070,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2070,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2080,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2080,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2080,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2080,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2090,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2090,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2090,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2090,0.95 - 0.99,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2100,0 - 0.001,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2100,0.001 - 0.9,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2100,0.9 - 0.95,,,,,,,,
ciprofloxacin,0.80278943863306,-3199814.8866315116,Medium,2100,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2020,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2020,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2020,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2020,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2030,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2030,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2030,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2030,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2040,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2040,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2040,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2040,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2050,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2050,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2050,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2050,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2060,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2060,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2060,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2060,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2070,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2070,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2070,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2070,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2080,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2080,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2080,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2080,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2090,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2090,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2090,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2090,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2100,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2100,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2100,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,High,2100,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2020,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2020,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2020,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2020,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2030,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2030,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2030,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2030,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2040,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2040,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2040,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2040,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2050,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2050,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2050,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2050,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2060,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2060,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2060,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2060,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2070,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2070,0.001 - 0.9,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2070,0.9 - 0.95,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2070,0.95 - 0.99,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2080,0 - 0.001,,,,,,,,
diclofenac,1.4306030611012082,-5249041.428380231,Low,2080,0.001 - 0.9,,,,,,,,
