Population_Scenario,Year,WWTP_Scenario,P(RQ_SW_API1=0-1),P(RQ_SW_API2=0-1),P(RQ_SW_API3=0-1),P(RQ_SW_API4=0-1),P(RQ_SW_API1=1-10),P(RQ_SW_API2=1-10),P(RQ_SW_API3=1-10),P(RQ_SW_API4=1-10),P(RQ_SW_API1=10-100),P(RQ_SW_API2=10-100),P(RQ_SW_API3=10-100),P(RQ_SW_API4=10-100),P(RQ_SW_API1=100-1000),P(RQ_SW_API2=100-1000),P(RQ_SW_API3=100-1000),P(RQ_SW_API4=100-1000),P(RQ_SW_API1=1000-10000),P(RQ_SW_API2=1000-10000),P(RQ_SW_API3=1000-10000),P(RQ_SW_API4=1000-10000),P(RQ_SW_API1=10000-inf),P(RQ_SW_API2=10000-inf),P(RQ_SW_API3=10000-inf),P(RQ_SW_API4=10000-inf),RQ_Threshhold,P(Sum_RQ=0-1),P(Sum_RQ=1-10),P(Sum_RQ=10-100),P(Sum_RQ=100-1000),P(Sum_RQ=1000-10000),P(Sum_RQ=10000-100000),P(Sum_RQ=100000-inf),P(Threshold_Exceedence=true)
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2010,None,0.16667,0,0,0.16667,0.16667,0.07475,0.06541,0.16667,0.16667,0.4041,0.38278,0.16667,0.16667,0.52115,0.55181,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,100,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,High,0.16667,0.02802,0.02451,0.16667,0.16667,0.19345,0.18022,0.16667,0.16667,0.44264,0.43962,0.16667,0.16667,0.33589,0.35565,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10000,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,Low,0.16667,0.0035,0.00306,0.16667,0.16667,0.10079,0.08956,0.16667,0.16667,0.42151,0.40529,0.16667,0.16667,0.47419,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,1,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
Low,2020,Low,0.16667,0.0035,0.00306,0.16667,0.16667,0.10079,0.08956,0.16667,0.16667,0.42151,0.40529,0.16667,0.16667,0.47419,0.50209,0.16667,0.16667,0,0,0.16667,0.16667,0,0,0.16667,10,0.00003,0.00491,0.03631,0.11466,0.25775,0.58633,0,0.70743
